Dateadded,Malware,Host,IP address,Level,Status,Files Online,SBL,Country,AS number,Uptime
2014-02-06,ZeuS,lion.web2.0campus.net,108.174.157.123,4,online,0,Not listed,-,AS36351,838:59:59
2014-02-04,ZeuS,blackhill.pp.ua,,4,offline,0,Not listed,-, ,838:59:59
2014-01-23,Citadel,f8b2b9.su,,4,offline,0,Not listed,-, ,838:59:59
2014-01-20,Citadel,pfengineering.com,110.164.126.64,2,online,0,SBL210970,-,AS45629,838:59:59
2014-01-16,ZeuS,213.147.67.20,213.147.67.20,4,unknown,0,SBL210538,-,AS13224,-
2014-01-12,ZeuS,baoshlda.com,217.23.49.178,4,online,0,Not listed,-,AS29239,838:59:59
2014-01-02,Citadel,phimsex4u.biz,,4,offline,0,Not listed,-, ,838:59:59
2013-12-26,Citadel,noonepa.tk,,4,offline,0,Not listed,-, ,838:59:59
2013-12-26,Citadel,sameetc.tk,,4,offline,0,Not listed,-, ,838:59:59
2013-12-23,ZeuS,212.44.64.202,212.44.64.202,4,unknown,0,SBL208591,-,AS20632,-
2013-12-22,Citadel,update.saintfrancoisath.be,,4,offline,0,Not listed,-, ,47:20:40
2013-12-17,Citadel,www.sdspropro.co.ua,,4,offline,0,Not listed,-, ,584:44:11
2013-12-16,Citadel,sdspropro.co.ua,,4,offline,0,Not listed,-, ,578:59:07
2013-12-10,Citadel,gorainbowzone.tk,195.20.46.116,4,online,0,Not listed,-,AS31624,838:59:59
2013-12-04,Citadel,update.odeen.eu,185.25.117.49,1,online,0,Not listed,-,AS200000,838:59:59
2013-12-04,Citadel,evobank.co,,4,offline,0,Not listed,-, ,838:59:59
2013-11-28,Citadel,gukin.as,46.180.7.231,2,online,0,SBL205858,-,AS39927,838:59:59
2013-11-21,ZeuS,sub.beirinckx.be,,4,offline,0,Not listed,-, ,25:30:37
2013-11-20,Citadel,panel.vargakragard.se,83.69.233.121,4,online,0,Not listed,-,AS28762,838:59:59
2013-10-29,Citadel,resr.configure.8c1.net,,4,offline,0,Not listed,-, ,838:59:59
2013-10-24,Citadel,fujidenki-web.co.jp,210.253.108.243,2,online,0,SBL201984,-,AS7506,838:59:59
2013-10-21,Citadel,iae.hosei.ac.jp,210.163.11.65,2,online,0,SBL201657,-,AS4713,838:59:59
2013-10-18,Citadel,prk.firstconf.3gb.biz,,4,offline,0,Not listed,-, ,421:52:57
2013-10-17,ZeuS,www.ansatz.net,217.119.54.222,2,online,0,SBL201254,-,AS8972,838:59:59
2013-10-17,ZeuS,presleywebs.uk.pn,,3,online,0,Not listed,-, ,838:59:59
2013-10-11,ZeuS,202.29.230.198,202.29.230.198,4,unknown,0,SBL200468,-,AS4621,-
2013-10-09,Ice IX,103.4.52.150,103.4.52.150,4,unknown,0,SBL200191,-,AS46062,-
2013-10-06,Citadel,frevolore.com,,4,offline,0,Not listed,-, ,314:47:44
2013-10-06,Citadel,fretiolo.com,,4,offline,0,Not listed,-, ,314:49:50
2013-10-04,ZeuS,www.perilshed.info,,4,offline,0,Not listed,-, ,838:59:59
2013-10-04,ZeuS,lifeisgoodwhenu2.info,,4,offline,0,Not listed,-, ,101:18:11
2013-10-04,Citadel,updating-flash.cloudapp.net,,4,offline,0,Not listed,-, ,11:28:43
2013-10-03,Citadel,tradecharm.lt,,4,offline,0,Not listed,-, ,838:59:59
2013-09-30,Ice IX,ice.andromed.in.ua,,4,offline,0,Not listed,-, ,838:59:59
2013-09-29,Citadel,103.241.0.100,103.241.0.100,4,unknown,0,SBL199127,-,AS38716,-
2013-09-29,ZeuS,warriorinjapan.hostjava.net,,3,offline,0,Not listed,-, ,838:59:59
2013-09-27,Ice IX,www.remaxhost.com,,1,offline,0,Not listed,-, ,838:59:59
2013-09-23,ZeuS,87.246.143.242,87.246.143.242,4,unknown,0,SBL198524,-,AS43513,-
2013-09-23,ZeuS,weporsche.com,,4,offline,0,Not listed,-, ,24:24:48
2013-09-12,Ice IX,henex.net.ua,,3,offline,0,Not listed,-, ,838:59:59
2013-09-11,ZeuS,ugwebz.uk.pn,,3,online,0,Not listed,-, ,838:59:59
2013-09-10,Ice IX,123.30.129.179,123.30.129.179,4,unknown,0,SBL196577,-,AS7643,-
2013-09-07,Citadel,fileserver03.com,109.235.59.44,4,online,0,Not listed,-,AS25504,838:59:59
2013-09-06,ZeuS,zeus.guvencelikimalat.com,,4,offline,0,Not listed,-, ,838:59:59
2013-09-03,ZeuS,p-alpha.ooo.al,,4,offline,0,Not listed,-, ,838:59:59
2013-09-02,Citadel,server.bovine-mena.com,46.4.150.111,4,online,0,Not listed,-,AS24940,838:59:59
2013-09-02,Citadel,wor6.b6dfnahea.ns2.name,,4,offline,0,Not listed,-, ,05:39:10
2013-08-25,ZeuS,59.157.4.2,59.157.4.2,4,unknown,0,SBL194747,-,AS10013,-
2013-08-25,Citadel,res81.weissdecisions.com,,4,offline,0,Not listed,-, ,631:05:38
2013-08-20,Citadel,mxstat230.com,,4,offline,0,Not listed,-, ,838:59:59
2013-08-12,Citadel,hope-found-now.net,31.28.27.17,4,online,0,SBL263854,-,AS29076,838:59:59
2013-08-05,ZeuS,yamleg.fu8.com,,4,offline,0,Not listed,-, ,195:25:22
2013-07-25,ZeuS,103.7.59.135,103.7.59.135,4,unknown,0,SBL191987,-,AS131447,-
2013-07-20,Citadel,reserve.jumpingcrab.com,,4,offline,0,Not listed,-, ,825:51:57
2013-07-19,Citadel,www.witkey.com,123.56.110.204,4,online,0,Not listed,-,AS37963,838:59:59
2013-07-18,Citadel,lonsmemorials.com,199.246.2.105,2,online,0,SBL217944,-,AS13468,838:59:59
2013-07-13,Citadel,google.poultrymiddleeast.com,,4,offline,0,Not listed,-, ,838:59:59
2013-07-08,Ice IX,ice.ip64.net,198.27.89.153,4,online,0,Not listed,-,AS16276,838:59:59
2013-07-05,ZeuS,www.kuman.cz,62.209.195.186,2,online,0,SBL189886,-,AS5588,838:59:59
2013-06-24,ZeuS,igor32.herbalbrasil.com.br,,4,offline,0,Not listed,-, ,838:59:59
2013-06-16,Citadel,gate.timstackleshop.es,,4,offline,0,Not listed,-, ,792:28:11
2013-06-15,Ice IX,projects.globaltronics.net,98.131.185.136,4,online,0,Not listed,-,AS32392,838:59:59
2013-06-13,Citadel,jgworldupd.com,,4,offline,0,Not listed,-, ,663:15:18
2013-06-10,ZeuS,porschecosv.com,,4,offline,0,Not listed,-, ,311:05:50
2013-06-08,Citadel,64.85.233.8,64.85.233.8,4,unknown,0,SBL188358,-,AS22759,-
2013-05-28,Citadel,bbwscimanuk.pdsda.net,222.124.202.178,2,online,0,SBL184445,-,AS17974,838:59:59
2013-05-26,Citadel,dattinggate.com,,4,offline,0,Not listed,-, ,838:59:59
2013-05-22,ZeuS,199.7.234.100,199.7.234.100,4,unknown,0,SBL185564,-,AS13826,-
2013-05-19,ZeuS,193.120.55.242,193.120.55.242,4,unknown,0,SBL185161,-,AS199256,-
2013-05-16,ZeuS,109.229.36.65,109.229.36.65,4,unknown,0,SBL184935,-,AS50174,-
2013-05-10,ZeuS,190.15.192.25,190.15.192.25,4,unknown,0,SBL184233,-,AS27879,-
2013-04-30,ZeuS,fongyeh.com.tw,61.67.129.145,2,online,0,SBL183308,-,AS18042,838:59:59
2013-04-25,,www.group-billarclub.com,,4,offline,-,Not listed,-, ,838:59:59
2013-04-09,ZeuS,illinoisnets.net,,4,offline,0,Not listed,-, ,838:59:59
2013-03-28,ZeuS,128.210.157.251,128.210.157.251,4,unknown,0,SBL179979,-,AS17,-
2013-03-21,ZeuS,visit2013.in.ua,,4,offline,0,Not listed,-, ,838:59:59
2013-01-23,ZeuS,jangasm.org,,4,offline,0,Not listed,-, ,838:59:59
2013-01-07,ZeuS,serversss.biz,,4,offline,0,Not listed,-, ,838:59:59
2012-12-10,Ice IX,counter-1.adscounter.com.ua,,4,offline,0,Not listed,-, ,838:59:59
2012-12-03,ZeuS,83.15.254.242,83.15.254.242,4,unknown,0,SBL168124,-,AS5617,-
2012-11-01,ZeuS,diosdelared.com.mx,199.231.186.170,4,online,0,Not listed,-,AS19318,838:59:59
2012-10-12,Citadel,hruner.com,45.34.161.13,1,online,0,Not listed,-,AS40676,838:59:59
2012-10-12,Ice IX,dasch.pl,,4,offline,0,Not listed,-, ,838:59:59
2012-10-09,ZeuS,allfortune777.biz,,4,offline,0,Not listed,-, ,838:59:59
2012-09-18,ZeuS,46.166.131.154,46.166.131.154,4,unknown,0,SBL134110,-,AS43350,-
2012-08-25,ZeuS,64.127.71.73,64.127.71.73,4,unknown,0,SBL152691,-,AS22343,-
2012-06-11,ZeuS,87.254.167.37,87.254.167.37,4,unknown,0,SBL143459,-,AS34754,-
2012-06-04,Citadel,94.103.36.55,94.103.36.55,4,unknown,0,SBL141535,-,AS47894,-
2012-04-23,ZeuS,60.13.186.5,60.13.186.5,4,unknown,0,SBL136391,-,AS4837,-
2012-03-22,ZeuS,46.166.145.113,46.166.145.113,4,unknown,0,SBL166688,-,AS43350,-
2012-02-16,ZeuS,203.170.193.23,203.170.193.23,4,unknown,0,SBL129228,-,AS4750,-
