First seen (UTC),Version,Feodo C&C,Status,SBL,ASN,Country,Last seen (UTC)
6/5/2015 11:43,D,203.151.94.120,offline,SBL258716,AS4618 INET-TH-AS,TH,6/5/2015 13:48
6/4/2015 12:58,D,121.245.138.147,offline,Not listed,AS10199 TATA-AS,IN,never
6/4/2015 12:58,D,14.53.205.220,offline,Not listed,AS4766 KIXS-AS-KR,KR,6/5/2015 11:43
6/4/2015 12:58,D,24.107.205.249,offline,Not listed,AS20115 CHARTER-NET-HKY-NC,US,6/5/2015 11:43
6/4/2015 8:52,D,70.32.74.108,offline,SBL258577,AS31815 MEDIATEMPLE,US,6/12/2015 17:04
6/4/2015 8:41,D,185.12.95.40,offline,SBL258715,AS49189 RUWEB,RU,6/26/2015 9:06
6/4/2015 8:22,D,90.244.114.91,offline,Not listed,AS1273 CW,GB,never
6/4/2015 7:06,C,31.192.209.119,offline,Not listed,AS51559 NETINTERNET,TR,6/10/2015 16:09
6/3/2015 17:21,D,37.140.195.177,offline,Not listed,AS197695 AS-REGRU,RU,6/26/2015 9:06
6/3/2015 8:19,C,95.173.183.223,offline,Not listed,AS51559 NETINTERNET,TR,6/3/2015 8:59
6/3/2015 8:19,C,37.187.137.213,offline,Not listed,AS16276 OVH,FR,6/4/2015 8:30
6/3/2015 8:19,C,46.105.112.142,offline,Not listed,AS16276 OVH,FR,6/5/2015 8:00
6/3/2015 7:26,C,50.57.115.183,offline,SBL258462,AS19994 RACKSPACE,US,6/8/2015 13:11
6/2/2015 7:04,C,31.192.209.150,offline,Not listed,AS51559 NETINTERNET,TR,6/4/2015 18:05
6/2/2015 1:14,C,94.102.14.7,offline,SBL258339,AS51559 NETINTERNET,TR,6/13/2015 2:16
6/1/2015 13:35,C,50.63.128.135,offline,Not listed,AS26496 AS-26496-GO-DADDY-COM-LLC,US,6/1/2015 17:30
6/1/2015 11:36,D,31.186.99.250,offline,SBL260760,AS49505 SELECTEL,RU,6/26/2015 9:06
6/1/2015 11:36,D,185.91.175.159,offline,SBL258277,AS42632 MNOGOBYTE-AS,,6/1/2015 17:13
6/1/2015 11:36,D,107.170.1.205,offline,SBL258276,AS62567 DIGITALOCEAN-ASN-NY2,US,6/4/2015 8:20
